tconst	averageRating	numVotes
tt0000689	6.5	57
tt0000690	6.4	43
tt0000694	5.1	51
tt0000695	5.8	53
tt0000697	4.6	30
tt0000698	5.4	26
tt0000699	6.0	27
tt0000700	5.3	67
tt0000704	5.4	50
tt0000706	5.1	31
tt0000707	5.4	27
tt0000708	4.6	34
tt0000709	5.5	55
tt0000711	4.4	23
tt0000713	6.0	22
tt0000717	5.9	19
tt0000720	6.5	18
tt0000722	5.4	12
tt0000724	5.2	41
tt0000727	6.0	20
tt0000728	5.8	118
tt0000730	5.8	58
tt0000731	4.9	24
tt0000733	6.2	31
tt0000734	4.2	14
tt0000736	4.7	16
tt0000737	5.3	31
tt0000738	8.0	20
tt0000739	6.0	17
tt0000740	5.6	19
tt0000741	5.4	20
tt0000743	6.8	15
tt0000746	7.4	20
tt0000747	5.2	21
tt0000748	5.7	27
tt0000749	5.7	758
tt0000750	7.5	15
tt0000752	5.3	115
tt0000754	7.3	59
tt0000755	5.8	189
tt0000756	5.4	117
tt0000758	6.2	30
tt0000759	7.9	12
tt0000760	6.6	9
tt0000762	6.0	20
tt0000764	5.6	127
tt0000765	5.2	16
tt0000767	6.8	19
tt0000769	5.3	148
tt0000770	5.4	142
tt0000771	6.0	23
tt0000772	6.2	20
tt0000775	7.9	11
tt0000776	5.9	85
tt0000778	6.6	16
tt0000779	5.7	18
tt0000781	6.6	19
tt0000782	7.5	18
tt0000784	5.8	21
tt0000785	5.4	60
tt0000786	7.0	9
tt0000787	5.8	21
tt0000789	5.1	55
tt0000790	6.2	330
tt0000792	5.0	70
tt0000793	4.5	21
tt0000797	5.4	163
tt0000798	4.6	14
tt0000800	5.4	107
tt0000801	5.4	74
tt0000807	5.0	62
tt0000809	6.2	62
tt0000815	5.0	66
tt0000816	4.8	122
tt0000817	4.2	15
tt0000819	5.5	67
tt0000821	4.9	115
tt0000823	4.8	54
tt0000825	4.8	56
tt0000826	4.8	55
tt0000827	5.3	91
tt0000828	5.3	107
tt0000829	4.7	59
tt0000831	5.3	129
tt0000832	6.6	2372
tt0000833	6.4	656
tt0000835	4.9	147
tt0000836	4.8	47
tt0000837	5.5	43
tt0000840	5.6	322
tt0000841	5.2	71
tt0000842	6.8	10
tt0000843	5.7	41
tt0000844	5.8	16
tt0000845	5.0	43
tt0000847	5.9	17
tt0000848	5.5	24
tt0000851	5.3	46
tt0000852	5.7	227
tt0000853	5.7	41
tt0000854	6.0	487
tt0000855	5.7	51
tt0000857	5.2	38
tt0000858	5.2	38
tt0000860	4.8	72
tt0000861	5.3	60
tt0000862	5.0	17
tt0000864	5.9	60
tt0000866	6.3	9
tt0000870	5.5	59
tt0000871	5.8	111
tt0000873	6.4	11
tt0000874	5.2	52
tt0000875	4.9	38
tt0000877	4.9	97
tt0000878	4.9	167
tt0000880	5.9	79
tt0000882	5.8	200
tt0000883	7.0	8
tt0000884	4.4	12
tt0000886	4.7	37
tt0000887	4.9	46
tt0000890	7.1	32
tt0000891	5.5	45
tt0000892	5.7	66
tt0000893	6.3	36
tt0000895	5.6	197
tt0000896	4.0	24
tt0000897	5.7	58
tt0000898	5.7	26
tt0000900	4.1	24
tt0000901	4.8	25
tt0000902	4.7	16
tt0000903	6.2	22
tt0000904	5.3	110
tt0000905	5.6	24
tt0000907	5.3	23
tt0000908	6.3	31
tt0000910	5.3	26
tt0000911	3.4	26
tt0000912	4.4	63
tt0000916	6.0	57
tt0000917	5.4	21
tt0000919	3.9	24
tt0000920	4.6	24
tt0000921	5.6	26
tt0000922	5.6	105
tt0000924	6.1	163
tt0000928	5.4	90
tt0000929	5.3	45
tt0000930	3.6	12
tt0000932	3.9	10
tt0000933	5.1	48
tt0000934	4.8	19
tt0000935	6.3	91
tt0000936	6.8	83
tt0000938	4.5	176
tt0000939	5.4	20
tt0000941	4.8	24
tt0000942	6.1	943
tt0000943	5.6	12
tt0000944	4.8	11
tt0000945	4.8	70
tt0000946	4.6	74
tt0000950	4.8	16
tt0000954	4.3	16
tt0000956	6.9	16
tt0000957	6.3	44
tt0000958	5.0	15
tt0000959	4.6	11
tt0000960	4.6	269
tt0000961	8.2	22
tt0000962	4.7	15
tt0000964	5.3	17
tt0000966	5.7	336
tt0000967	4.7	18
tt0000969	6.7	25
tt0000970	5.8	73
tt0000971	6.3	143
tt0000972	5.8	82
tt0000974	5.2	51
tt0000975	5.8	19
tt0000976	4.7	20
tt0000978	6.8	8
tt0000979	5.2	28
tt0000981	5.7	49
tt0000983	5.4	14
tt0000984	4.6	10
tt0000985	4.4	15
tt0000986	5.1	108
tt0000987	7.8	9
tt0000988	5.1	20
tt0000989	5.0	41
tt0000990	6.2	73
tt0000992	4.5	17
tt0000993	5.0	14
tt0000995	7.3	18
tt0000996	4.3	10
tt0000997	6.7	16
tt0000998	5.6	18
tt0000999	5.4	9
tt0001000	5.5	47
tt0001001	5.5	123
tt0001002	4.9	93
tt0001005	4.7	16
tt0001007	4.8	10
tt0001008	5.6	29
tt0001009	6.5	924
tt0001010	4.1	14
tt0001011	4.7	17
tt0001013	5.9	370
tt0001014	5.1	108
tt0001015	4.7	23
tt0001016	5.2	133
tt0001020	5.2	14
tt0001023	6.0	14
tt0001024	5.0	12
tt0001025	7.7	17
tt0001027	6.0	17
tt0001028	4.4	17
tt0001029	5.3	48
tt0001031	4.4	14
tt0001032	6.0	832
tt0001033	5.1	19
tt0001035	5.1	33
tt0001036	3.5	12
tt0001037	3.9	18
tt0001038	3.8	21
tt0001041	5.5	36
tt0001044	5.7	107
tt0001045	5.6	14
tt0001046	4.8	15
tt0001049	4.0	16
tt0001050	5.1	79
tt0001052	5.7	17
tt0001053	6.2	16
tt0001054	5.9	31
tt0001058	5.3	23
tt0001060	4.8	15
tt0001061	6.5	39
tt0001062	6.2	1175
tt0001063	5.9	17
tt0001064	5.1	37
tt0001065	5.2	17
tt0001066	4.6	15
tt0001067	6.3	33
tt0001071	6.6	15
tt0001072	5.7	334
tt0001074	6.0	21
tt0001075	4.7	17
tt0001076	5.6	24
tt0001077	5.8	15
tt0001078	5.6	47
tt0001079	4.8	17
tt0001083	5.0	138
tt0001084	5.1	163
tt0001085	5.6	17
tt0001086	6.3	17
tt0001088	5.3	71
tt0001089	8.3	38
tt0001090	7.0	16
